"","nail","avg_rugo50","rugo50_variance","avg_point_range50"
"1","1",1.68669010847023,0.147151962614294,0.139337514569487
"2","2",1.55431025116226,0.0945417998386158,0.133388231357147
"3","3",1.6224486251092,0.133748707764003,0.143991843948174
"4","4",1.45708986847762,0.0186514441075722,0.11400522364654
"5","5",2.2058968328934,0.725663731965267,0.238008169699456
"6","6",2.84073639863242,1.9278402400063,0.22970587454161
"7","7",1.51137654775258,0.0258761922882769,0.0957325678834175
"8","8",1.45380358221731,0.0576919373567438,0.109221151608311
"9","9",1.85076611682591,0.139986376986687,0.173980053591188
"10","10",1.57126747807424,0.0525872648252083,0.163230483993944
"11","11",2.17417336355579,0.618986121800774,0.180365177253773
"12","12",1.65256881753493,0.565805980900346,0.191052441190422
"13","13",1.38317770096565,0.0636551347080437,0.17469171099274
"14","14",1.6037664836434,0.270501981275375,0.210661807798973
"15","15",2.24071327503124,0.504663365892004,0.258394792853325
"16","16",1.6679384392362,0.071443259700818,0.138885069311347
"17","17",1.86170390420195,0.0384133195337087,0.2096052094318
"18","18",1.51849277229244,0.468908746994768,0.147375469800406
"19","19",2.05439319655029,0.294625748495457,0.285574727134155
"20","20",1.44342586163221,0.0807674945530608,0.13033069229329
"21","21",1.67253540323064,0.0787443487124006,0.155008894381851
"22","22",1.44003358439093,0.0173255607280909,0.135333385421867
"23","23",1.74073339589193,0.238111877351884,0.114440570201922
"24","24",1.89001076068149,0.791223584801022,0.14285607079661
"25","25",1.54245741460908,0.0599309603000094,0.137685207239172
"26","26",2.96425972020828,2.02967545250629,0.253605809274464
