"","nail","rugo50_A","rugo50_var_A","avg_point_range_A50"
"1","1",0.618264694520221,0.0145309498706587,0.139337514569487
"2","2",0.664385541504394,0.0131453717170532,0.133388231357147
"3","3",0.639168612422724,0.0119300167228999,0.143991843948174
"4","4",0.692088548254868,0.00425061818029342,0.11400522364654
"5","5",0.508552130401064,0.0250270514409647,0.238008169699456
"6","6",0.456488025959859,0.0628373842570763,0.22970587454161
"7","7",0.668918782243151,0.00525469353915363,0.0957325678834175
"8","8",0.703978345776135,0.0110285450933305,0.109221151608311
"9","9",0.560491089545089,0.0114917434674313,0.173980053591188
"10","10",0.649295939752176,0.00878028973933797,0.163230483993944
"11","11",0.508069261480339,0.0222218151165497,0.180365177253773
"12","12",0.66666474307857,0.025027833460657,0.191052441190422
"13","13",0.742534428914877,0.0129461741387646,0.17469171099274
"14","14",0.66987826747401,0.0260216209747989,0.210661807798973
"15","15",0.488768214419191,0.0211430276771158,0.258394792853325
"16","16",0.613581033036276,0.00881914104599073,0.138885069311347
"17","17",0.54225699091494,0.00264654459240536,0.2096052094318
"18","18",0.746655737585723,0.0469119449603299,0.147375469800406
"19","19",0.511311131093201,0.010357888522401,0.285574727134155
"20","20",0.718504090619875,0.0194271011991612,0.13033069229329
"21","21",0.613924571184067,0.0102890797727413,0.155008894381851
"22","22",0.700493062007135,0.00493731903709959,0.135333385421867
"23","23",0.60926248337331,0.0184074048783161,0.114440570201922
"24","24",0.602454533592024,0.0332397507058153,0.14285607079661
"25","25",0.662804396406124,0.00949354656837762,0.137685207239172
"26","26",0.425439420922138,0.0430316627192458,0.253605809274464
