"","nail","avg_rugo100","rugo100_variance","avg_point_range100"
"1","1",1.6983865749002,0.0408779926762459,0.423539608512467
"2","2",1.41669442372531,0.0385265340694585,0.219661243622225
"3","3",1.41204631681485,0.0624178268298559,0.210799707876344
"4","4",1.66033717763359,0.146105446704531,0.208187737388936
"5","5",1.87399568965564,0.393836749159742,0.275410339882575
"6","6",2.34555836082594,1.05659667352147,0.27023566481437
"7","7",1.5853099018494,0.152541756784318,0.169260284339541
"8","8",1.57084739550843,0.102427432721342,0.248409757509816
"9","9",1.69300977574541,0.0497882162907623,0.261260833704883
"10","10",1.47741768116589,0.0228220797888102,0.252975586758842
"11","11",1.78392031844064,0.215796744925452,0.233678745482455
"12","12",1.92557260668009,0.264085319185865,0.275298884018937
"13","13",1.55929345588807,0.0714854084438589,0.244792704677071
"14","14",1.58241795969896,0.276169775228613,0.26371918915283
"15","15",1.79071451157871,0.284676323957513,0.290048538282909
"16","16",1.99433665232647,0.692109653932272,0.365628428332492
"17","17",1.53016053138155,0.0245741404364968,0.189114099166319
"18","18",1.41392970274928,0.136501937495283,0.19470806095403
"19","19",1.59198963912285,0.0617215716701491,0.33052442691746
"20","20",1.53039082930147,0.123001500463026,0.201739191270822
"21","21",1.4667344795711,0.035048471426952,0.216147299978792
"22","22",1.58414862287364,0.109846229270247,0.231830096255701
"23","23",1.77787631768418,0.305030197153256,0.244330854611854
"24","24",2.36426774807082,0.423354771907404,0.304764058307108
"25","25",1.51634689203049,0.0462634339759686,0.215845277767328
"26","26",2.02560835611336,0.235962980557997,0.30462971689674
