site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Fortlauderdale,FTL,20250721,25,22,2,4,-0.6480194611157508,-1.8030429507947077,16.26747053,-0.5184393289152258,0.2636174770160932,0.21075634432138976,0.0033589198911426724
Fortlauderdale,FTL,20250721,25,23,2,3,-0.6479243697586444,-0.7946629723146129,17.99855091,-0.4684009566432186,-1.0810286460925544,0.204174677898516,-0.18172896086252963
Fortlauderdale,FTL,20250721,25,24,4,6,-0.6034168182050302,-1.1431624247126817,16.91310325,-0.5005018345322205,-0.5770579835968133,0.23591598132130753,-0.10995776696967086
Fortlauderdale,FTL,20250721,50,1,2,5,-0.6131337835566396,-0.9351092872786735,18.64476136,-0.49299542181046946,-0.44392827946973196,0.28379004609266795,-0.06240688856795767
Fortlauderdale,FTL,20250721,50,2,3,2,-0.6168907016859674,-0.801860474716923,19.00993685,-0.48433697124243946,-0.034448328468275356,0.2775737453588012,7.39487156038944e-4
Fortlauderdale,FTL,20250721,50,3,1,3,-0.6011985025158401,-1.5751986783586451,17.43283015,-0.5440630841128742,0.31764962668305174,0.26673904674275517,0.04941042544845277
Fortlauderdale,FTL,20250721,50,4,2,3,-0.6134452669176751,-1.232957160979101,17.80663421,-0.5034147135513398,-0.06548090560436427,0.283956952875987,-0.025654225562667478
Fortlauderdale,FTL,20250721,50,5,3,4,-0.614649015072889,-0.8054972679155148,18.71067616,-0.490620507937748,0.04791139029422238,0.2724371051807609,0.04497830406933005
Fortlauderdale,FTL,20250721,50,6,2,3,-0.6132468097431728,-1.230488070812534,17.63049165,-0.5164599402581177,-0.0788553998322211,0.2672071261267703,-0.0011461610573521954
Fortlauderdale,FTL,20250721,50,7,4,4,-0.6271291680990069,-0.8794475205590362,18.53429263,-0.4802927285991924,0.4070941809834046,0.20188977115261506,0.08172627331150634
Fortlauderdale,FTL,20250721,50,8,5,4,-0.6340300412653168,-1.152204333205764,18.62843108,-0.4937186773947438,-0.4530070008174965,0.22139309025898798,-0.07170217523883067
Fortlauderdale,FTL,20250721,50,9,5,3,-0.6240874785483134,-0.585351099383843,19.17537177,-0.45345824026275316,0.05925121132410352,0.3163148653518136,0.028482144723109865
